domain,file,line,symbol,current_type,target_type,classification,evidence,migration_required,risk
raw-sql,backend/app/accounting/entries_router.py,127,credit,FLOAT,"Decimal / NUMERIC(precision, scale)",money-or-rate,"credit FLOAT DEFAULT 0,",yes,critical
backend-conversion,backend/app/accounting/entries_router.py,193,float(),binary float conversion,"Decimal / NUMERIC(precision, scale)",money-or-rate,float(x.debit or 0),code-change,critical
backend-conversion,backend/app/accounting/entries_router.py,194,float(),binary float conversion,"Decimal / NUMERIC(precision, scale)",money-or-rate,float(x.credit or 0),code-change,critical
backend-conversion,backend/app/accounting/entries_router.py,200,float(),binary float conversion,"Decimal / NUMERIC(precision, scale)",money-or-rate,float(line.debit or 0),code-change,critical
backend-conversion,backend/app/accounting/entries_router.py,201,float(),binary float conversion,"Decimal / NUMERIC(precision, scale)",money-or-rate,float(line.credit or 0),code-change,critical
backend-conversion,backend/app/accounting/entries_router.py,211,float(),binary float conversion,"Decimal / NUMERIC(precision, scale)",money-or-rate,float(line.foreign_amount or 0),code-change,critical
backend-conversion,backend/app/accounting/entries_router.py,212,float(),binary float conversion,"Decimal / NUMERIC(precision, scale)",money-or-rate,float(line.exchange_rate or 0),code-change,critical
backend-conversion,backend/app/accounting/entries_router.py,419,float(),binary float conversion,"Decimal / NUMERIC(precision, scale)",money-or-rate,"float(data.get(""total_debit"") or 0)",code-change,critical
backend-conversion,backend/app/accounting/entries_router.py,480,float(),binary float conversion,"Decimal / NUMERIC(precision, scale)",money-or-rate,"float(row.get(""credit"") or 0)",code-change,critical
backend-conversion,backend/app/accounting/entries_router.py,513,float(),binary float conversion,"Decimal / NUMERIC(precision, scale)",money-or-rate,"float(item.get(""debit"") or 0)",code-change,critical
backend-conversion,backend/app/accounting/entries_router.py,514,float(),binary float conversion,"Decimal / NUMERIC(precision, scale)",money-or-rate,"float(item.get(""credit"") or 0)",code-change,critical
backend-conversion,backend/app/accounting/entries_router.py,582,float(),binary float conversion,"Decimal / NUMERIC(precision, scale)",money-or-rate,float(line.debit or 0),code-change,critical
backend-conversion,backend/app/accounting/entries_router.py,594,float(),binary float conversion,"Decimal / NUMERIC(precision, scale)",money-or-rate,"float(current.get(""total_debit"") or 0)",code-change,critical
backend-python,backend/app/accounting/fixed_assets.py,28,acquisition_cost,float,"Decimal / NUMERIC(precision, scale)",money-or-rate,acquisition_cost: float,yes,critical
backend-python,backend/app/accounting/fixed_assets.py,29,salvage_value,float,"Decimal / NUMERIC(precision, scale)",money-or-rate,salvage_value: float = 0,yes,critical
raw-sql,backend/app/accounting/fixed_assets.py,50,acquisition_cost,FLOAT,"Decimal / NUMERIC(precision, scale)",money-or-rate,"acquisition_cost FLOAT NOT NULL,",yes,critical
raw-sql,backend/app/accounting/fixed_assets.py,51,salvage_value,FLOAT,"Decimal / NUMERIC(precision, scale)",money-or-rate,"salvage_value FLOAT NOT NULL DEFAULT 0,",yes,critical
raw-sql,backend/app/accounting/fixed_assets.py,67,amount,FLOAT,"Decimal / NUMERIC(precision, scale)",money-or-rate,"amount FLOAT NOT NULL,",yes,critical
raw-sql,backend/app/accounting/fixed_assets.py,68,accumulated_after,FLOAT,Explicit numeric policy required,numeric-review,"accumulated_after FLOAT NOT NULL,",yes,review
raw-sql,backend/app/accounting/fixed_assets.py,69,book_value_after,FLOAT,"Decimal / NUMERIC(precision, scale)",money-or-rate,"book_value_after FLOAT NOT NULL,",yes,critical
backend-conversion,backend/app/accounting/fixed_assets.py,101,float(),binary float conversion,"Decimal / NUMERIC(precision, scale)",money-or-rate,float(cost),code-change,critical
backend-conversion,backend/app/accounting/fixed_assets.py,102,float(),binary float conversion,Explicit numeric policy required,numeric-review,float(salvage),code-change,review
backend-conversion,backend/app/accounting/fixed_assets.py,103,float(),binary float conversion,Explicit numeric policy required,numeric-review,float(depreciable),code-change,review
backend-conversion,backend/app/accounting/fixed_assets.py,104,float(),binary float conversion,Explicit numeric policy required,numeric-review,"float(
            _money(depreciable / int(item[""useful_life_months""]))
        )",code-change,review
backend-conversion,backend/app/accounting/fixed_assets.py,107,float(),binary float conversion,Explicit numeric policy required,numeric-review,float(accumulated),code-change,review
backend-conversion,backend/app/accounting/fixed_assets.py,108,float(),binary float conversion,"Decimal / NUMERIC(precision, scale)",money-or-rate,float(_money(cost - accumulated)),code-change,critical
backend-conversion,backend/app/accounting/fixed_assets.py,133,float(),binary float conversion,"Decimal / NUMERIC(precision, scale)",money-or-rate,"float(_money(sum(Decimal(str(a[""acquisition_cost""])) for a in assets)))",code-change,critical
backend-conversion,backend/app/accounting/fixed_assets.py,134,float(),binary float conversion,"Decimal / NUMERIC(precision, scale)",money-or-rate,"float(_money(sum(Decimal(str(a[""accumulated_depreciation""])) for a in assets)))",code-change,critical
backend-conversion,backend/app/accounting/fixed_assets.py,135,float(),binary float conversion,"Decimal / NUMERIC(precision, scale)",money-or-rate,"float(_money(sum(Decimal(str(a[""book_value""])) for a in assets)))",code-change,critical
backend-conversion,backend/app/accounting/fixed_assets.py,181,float(),binary float conversion,"Decimal / NUMERIC(precision, scale)",money-or-rate,float(cost),code-change,critical
backend-conversion,backend/app/accounting/fixed_assets.py,182,float(),binary float conversion,Explicit numeric policy required,numeric-review,float(salvage),code-change,review
backend-conversion,backend/app/accounting/fixed_assets.py,192,float(),binary float conversion,"Decimal / NUMERIC(precision, scale)",money-or-rate,float(cost),code-change,critical
backend-conversion,backend/app/accounting/fixed_assets.py,193,float(),binary float conversion,"Decimal / NUMERIC(precision, scale)",money-or-rate,float(cost),code-change,critical
backend-conversion,backend/app/accounting/fixed_assets.py,276,float(),binary float conversion,"Decimal / NUMERIC(precision, scale)",money-or-rate,float(amount),code-change,critical
backend-conversion,backend/app/accounting/fixed_assets.py,277,float(),binary float conversion,Explicit numeric policy required,numeric-review,float(projected_accumulated),code-change,review
backend-conversion,backend/app/accounting/fixed_assets.py,285,float(),binary float conversion,"Decimal / NUMERIC(precision, scale)",money-or-rate,float(amount),code-change,critical
backend-conversion,backend/app/accounting/fixed_assets.py,286,float(),binary float conversion,"Decimal / NUMERIC(precision, scale)",money-or-rate,float(amount),code-change,critical
backend-conversion,backend/app/accounting/fixed_assets.py,297,float(),binary float conversion,"Decimal / NUMERIC(precision, scale)",money-or-rate,float(amount),code-change,critical
backend-conversion,backend/app/accounting/fixed_assets.py,298,float(),binary float conversion,"Decimal / NUMERIC(precision, scale)",money-or-rate,float(book_value),code-change,critical
backend-conversion,backend/app/accounting/fixed_assets.py,304,float(),binary float conversion,"Decimal / NUMERIC(precision, scale)",money-or-rate,"float(_money(sum(Decimal(str(item[""amount""])) for item in posted)))",code-change,critical
backend-conversion,backend/app/accounting/integrity.py,79,float(),binary float conversion,"Decimal / NUMERIC(precision, scale)",money-or-rate,float(subtotal),code-change,critical
backend-conversion,backend/app/accounting/integrity.py,80,float(),binary float conversion,"Decimal / NUMERIC(precision, scale)",money-or-rate,float(discount),code-change,critical
backend-conversion,backend/app/accounting/integrity.py,81,float(),binary float conversion,"Decimal / NUMERIC(precision, scale)",money-or-rate,float(discount_amount),code-change,critical
backend-conversion,backend/app/accounting/integrity.py,82,float(),binary float conversion,"Decimal / NUMERIC(precision, scale)",money-or-rate,float(tax),code-change,critical
backend-conversion,backend/app/accounting/integrity.py,83,float(),binary float conversion,"Decimal / NUMERIC(precision, scale)",money-or-rate,float(tax_amount),code-change,critical
backend-conversion,backend/app/accounting/integrity.py,84,float(),binary float conversion,"Decimal / NUMERIC(precision, scale)",money-or-rate,float(shipping),code-change,critical
backend-conversion,backend/app/accounting/integrity.py,85,float(),binary float conversion,"Decimal / NUMERIC(precision, scale)",money-or-rate,float(total_amount),code-change,critical
backend-conversion,backend/app/accounting/integrity.py,93,float(),binary float conversion,Decimal / NUMERIC when fractional; Integer when indivisible,quantity-or-measurement,float(quantity),code-change,medium
raw-sql,backend/app/accounting/posting.py,82,total_debit,FLOAT,"Decimal / NUMERIC(precision, scale)",money-or-rate,"total_debit FLOAT DEFAULT 0,",yes,critical
raw-sql,backend/app/accounting/posting.py,83,total_credit,FLOAT,"Decimal / NUMERIC(precision, scale)",money-or-rate,"total_credit FLOAT DEFAULT 0,",yes,critical
raw-sql,backend/app/accounting/posting.py,98,debit,FLOAT,"Decimal / NUMERIC(precision, scale)",money-or-rate,"debit FLOAT DEFAULT 0,",yes,critical
raw-sql,backend/app/accounting/posting.py,99,credit,FLOAT,"Decimal / NUMERIC(precision, scale)",money-or-rate,"credit FLOAT DEFAULT 0,",yes,critical
raw-sql,backend/app/accounting/posting.py,103,foreign_amount,FLOAT,"Decimal / NUMERIC(precision, scale)",money-or-rate,"foreign_amount FLOAT,",yes,critical
raw-sql,backend/app/accounting/posting.py,104,exchange_rate,FLOAT,"Decimal / NUMERIC(precision, scale)",money-or-rate,"exchange_rate FLOAT,",yes,critical
backend-conversion,backend/app/accounting/posting.py,212,float(),binary float conversion,"Decimal / NUMERIC(precision, scale)",money-or-rate,float(total_debit),code-change,critical
backend-conversion,backend/app/accounting/posting.py,213,float(),binary float conversion,"Decimal / NUMERIC(precision, scale)",money-or-rate,float(total_credit),code-change,critical
backend-conversion,backend/app/accounting/posting.py,235,float(),binary float conversion,"Decimal / NUMERIC(precision, scale)",money-or-rate,"float(line[""debit""])",code-change,critical
backend-conversion,backend/app/accounting/posting.py,236,float(),binary float conversion,"Decimal / NUMERIC(precision, scale)",money-or-rate,"float(line[""credit""])",code-change,critical
backend-conversion,backend/app/accounting/reporting.py,46,float(),binary float conversion,Explicit numeric policy required,numeric-review,float(_money(sales)),code-change,review
backend-conversion,backend/app/accounting/reporting.py,47,float(),binary float conversion,Explicit numeric policy required,numeric-review,float(_money(sales_returns)),code-change,review
backend-conversion,backend/app/accounting/reporting.py,48,float(),binary float conversion,Explicit numeric policy required,numeric-review,float(_money(net_sales)),code-change,review
backend-conversion,backend/app/accounting/reporting.py,49,float(),binary float conversion,Explicit numeric policy required,numeric-review,float(_money(purchases)),code-change,review
backend-conversion,backend/app/accounting/reporting.py,50,float(),binary float conversion,Explicit numeric policy required,numeric-review,float(_money(purchase_returns)),code-change,review
backend-conversion,backend/app/accounting/reporting.py,51,float(),binary float conversion,Explicit numeric policy required,numeric-review,float(_money(net_purchases)),code-change,review
backend-conversion,backend/app/accounting/reporting.py,52,float(),binary float conversion,"Decimal / NUMERIC(precision, scale)",money-or-rate,float(_money(cost_of_goods_sold)),code-change,critical
backend-conversion,backend/app/accounting/reporting.py,53,float(),binary float conversion,"Decimal / NUMERIC(precision, scale)",money-or-rate,float(_money(operating_expenses)),code-change,critical
backend-conversion,backend/app/accounting/reporting.py,54,float(),binary float conversion,"Decimal / NUMERIC(precision, scale)",money-or-rate,float(_money(gross_profit)),code-change,critical
backend-conversion,backend/app/accounting/reporting.py,55,float(),binary float conversion,"Decimal / NUMERIC(precision, scale)",money-or-rate,float(_money(net_profit)),code-change,critical
backend-conversion,backend/app/accounting/reporting.py,56,float(),binary float conversion,Explicit numeric policy required,numeric-review,float(_money(margin)),code-change,review
backend-conversion,backend/app/accounting/reporting.py,71,float(),binary float conversion,"Decimal / NUMERIC(precision, scale)",money-or-rate,float(_money(amount)),code-change,critical
backend-conversion,backend/app/accounting/reporting.py,87,float(),binary float conversion,Explicit numeric policy required,numeric-review,float(_money(positive - returned)),code-change,review
raw-sql,backend/app/accounting/reporting.py,87,return,FLOAT,Explicit numeric policy required,numeric-review,return float(_money(positive - returned)),yes,review
raw-sql,backend/app/accounting/router.py,94,rate,FLOAT,"Decimal / NUMERIC(precision, scale)",money-or-rate,"rate FLOAT DEFAULT 1,",yes,critical
backend-conversion,backend/app/accounting/statements.py,17,float(),binary float conversion,"Decimal / NUMERIC(precision, scale)",money-or-rate,"float(
        Decimal(str(value or 0)).quantize(
            MONEY_STEP,
            rounding=ROUND_HALF_UP,
        )
    )",code-change,critical
raw-sql,backend/app/accounting/statements.py,17,return,FLOAT,Explicit numeric policy required,numeric-review,return float(,yes,review
backend-conversion,backend/app/accounting/tax.py,14,float(),binary float conversion,"Decimal / NUMERIC(precision, scale)",money-or-rate,"float(
        Decimal(str(value or 0)).quantize(
            MONEY_STEP,
            rounding=ROUND_HALF_UP,
        )
    )",code-change,critical
raw-sql,backend/app/accounting/tax.py,14,return,FLOAT,Explicit numeric policy required,numeric-review,return float(,yes,review
backend-conversion,backend/app/accounting/treasury.py,16,float(),binary float conversion,"Decimal / NUMERIC(precision, scale)",money-or-rate,"float(Decimal(str(value or 0)).quantize(MONEY_STEP, rounding=ROUND_HALF_UP))",code-change,critical
raw-sql,backend/app/accounting/treasury.py,16,return,FLOAT,Explicit numeric policy required,numeric-review,"return float(Decimal(str(value or 0)).quantize(MONEY_STEP, rounding=ROUND_HALF_UP))",yes,review
backend-python,backend/app/accounting/treasury.py,22,amount,float,"Decimal / NUMERIC(precision, scale)",money-or-rate,amount: float,yes,critical
raw-sql,backend/app/accounting/treasury.py,43,amount,FLOAT,"Decimal / NUMERIC(precision, scale)",money-or-rate,"amount FLOAT NOT NULL,",yes,critical
backend-python,backend/app/accounting_core/schemas.py,30,debit,float,"Decimal / NUMERIC(precision, scale)",money-or-rate,debit: float = 0,yes,critical
backend-python,backend/app/accounting_core/schemas.py,31,credit,float,"Decimal / NUMERIC(precision, scale)",money-or-rate,credit: float = 0,yes,critical
backend-python,backend/app/accounting_core/schemas.py,48,debit,float,"Decimal / NUMERIC(precision, scale)",money-or-rate,debit: float,yes,critical
backend-python,backend/app/accounting_core/schemas.py,49,credit,float,"Decimal / NUMERIC(precision, scale)",money-or-rate,credit: float,yes,critical
backend-conversion,backend/app/ai_bi/router.py,16,float(),binary float conversion,"Decimal / NUMERIC(precision, scale)",money-or-rate,float(value or 0),code-change,critical
raw-sql,backend/app/ai_bi/router.py,16,return,FLOAT,Explicit numeric policy required,numeric-review,return float(value or 0),yes,review
backend-conversion,backend/app/change_requests.py,146,float(),binary float conversion,"Decimal / NUMERIC(precision, scale)",money-or-rate,"float(changes[""discount_percent""])",code-change,critical
raw-sql,backend/app/change_requests.py,148,and,FLOAT,Explicit numeric policy required,numeric-review,"if ""online_price"" in changes and changes[""online_price""] is not None and float(changes[""online_price""]) < 0:",yes,review
backend-conversion,backend/app/change_requests.py,148,float(),binary float conversion,"Decimal / NUMERIC(precision, scale)",money-or-rate,"float(changes[""online_price""])",code-change,critical
sqlalchemy-model,backend/app/crm/models.py,28,amount,Float,"Decimal / NUMERIC(precision, scale)",money-or-rate,"amount = Column(Float, default=0)",yes,critical
sqlalchemy-model,backend/app/crm/models/customer.py,26,amount,Float,"Decimal / NUMERIC(precision, scale)",money-or-rate,"amount = Column(Float, default=0)",yes,critical
sqlalchemy-model,backend/app/crm/models/timeline.py,17,amount,Float,"Decimal / NUMERIC(precision, scale)",money-or-rate,"amount = Column(Float, nullable=True)",yes,critical
backend-conversion,backend/app/crm/router.py,15,float(),binary float conversion,Explicit numeric policy required,numeric-review,float(v or 0),code-change,review
raw-sql,backend/app/crm/router.py,15,return,FLOAT,Explicit numeric policy required,numeric-review,return float(v or 0),yes,review
raw-sql,backend/app/crm/router.py,69,points,FLOAT,Explicit numeric policy required,numeric-review,"points FLOAT DEFAULT 0,",yes,review
raw-sql,backend/app/crm/router.py,70,redeemed_points,FLOAT,Explicit numeric policy required,numeric-review,"redeemed_points FLOAT DEFAULT 0,",yes,review
raw-sql,backend/app/crm/router.py,71,gift_credit,FLOAT,"Decimal / NUMERIC(precision, scale)",money-or-rate,"gift_credit FLOAT DEFAULT 0,",yes,critical
raw-sql,backend/app/crm/router.py,72,total_spent,FLOAT,"Decimal / NUMERIC(precision, scale)",money-or-rate,"total_spent FLOAT DEFAULT 0,",yes,critical
raw-sql,backend/app/crm/router.py,74,discount_percent,FLOAT,"Decimal / NUMERIC(precision, scale)",money-or-rate,"discount_percent FLOAT DEFAULT 0,",yes,critical
backend-python,backend/app/crm/router.py,110,points,float,Explicit numeric policy required,numeric-review,points: float,yes,review
backend-conversion,backend/app/crm/routes/customer.py,31,float(),binary float conversion,"Decimal / NUMERIC(precision, scale)",money-or-rate,float(value or 0),code-change,critical
raw-sql,backend/app/crm/routes/customer.py,31,return,FLOAT,Explicit numeric policy required,numeric-review,return float(value or 0),yes,review
sqlalchemy-model,backend/app/crm/sales_pipeline_models.py,13,value,Float,"Decimal / NUMERIC(precision, scale)",money-or-rate,"value = Column(Float, default=0)",yes,critical
backend-python,backend/app/crm/sales_pipeline_routes.py,13,amount,float,"Decimal / NUMERIC(precision, scale)",money-or-rate,amount: float = 0,yes,critical
backend-python,backend/app/crm/sales_pipeline_routes.py,14,probability,float,Explicit numeric policy required,numeric-review,probability: float = 0,yes,review
raw-sql,backend/app/crm/sales_pipeline_routes.py,26,amount,FLOAT,"Decimal / NUMERIC(precision, scale)",money-or-rate,"amount FLOAT DEFAULT 0,",yes,critical
raw-sql,backend/app/crm/sales_pipeline_routes.py,27,probability,FLOAT,Explicit numeric policy required,numeric-review,"probability FLOAT DEFAULT 0,",yes,review
backend-python,backend/app/crm/schemas/customer.py,15,debt,float,Explicit numeric policy required,numeric-review,debt: float,yes,review
backend-conversion,backend/app/data_import.py,100,float(),binary float conversion,"Decimal / NUMERIC(precision, scale)",money-or-rate,"float(str(value).replace("","", """").replace(""٬"", """"))",code-change,critical
backend-conversion,backend/app/data_import.py,285,float(),binary float conversion,"Decimal / NUMERIC(precision, scale)",money-or-rate,"float(money(abs(balance), policy[""decimal_places""], policy[""rounding_mode""]))",code-change,critical
backend-conversion,backend/app/data_import.py,298,float(),binary float conversion,"Decimal / NUMERIC(precision, scale)",money-or-rate,"float(money(stock * buy_price, policy[""decimal_places""], policy[""rounding_mode""]))",code-change,critical
backend-python,backend/app/enterprise_crm/routes.py,22,value,float,"Decimal / NUMERIC(precision, scale)",money-or-rate,value: float = 0,yes,critical
backend-python,backend/app/enterprise_crm/routes.py,33,value,Optional[float],"Decimal / NUMERIC(precision, scale)",money-or-rate,value: Optional[float] = None,yes,critical
backend-python,backend/app/enterprise_crm/routes.py,43,value,float,"Decimal / NUMERIC(precision, scale)",money-or-rate,value: float = 0,yes,critical
backend-python,backend/app/enterprise_crm/routes.py,44,probability,float,Explicit numeric policy required,numeric-review,probability: float = 20,yes,review
backend-conversion,backend/app/enterprise_crm/routes.py,77,float(),binary float conversion,"Decimal / NUMERIC(precision, scale)",money-or-rate,float(value or 0),code-change,critical
raw-sql,backend/app/enterprise_crm/routes.py,77,return,FLOAT,Explicit numeric policy required,numeric-review,return float(value or 0),yes,review
raw-sql,backend/app/enterprise_crm/routes.py,92,value,FLOAT,"Decimal / NUMERIC(precision, scale)",money-or-rate,"value FLOAT DEFAULT 0,",yes,critical
raw-sql,backend/app/enterprise_crm/routes.py,107,value,FLOAT,"Decimal / NUMERIC(precision, scale)",money-or-rate,"value FLOAT DEFAULT 0,",yes,critical
raw-sql,backend/app/enterprise_crm/routes.py,108,probability,FLOAT,Explicit numeric policy required,numeric-review,"probability FLOAT DEFAULT 20,",yes,review
backend-conversion,backend/app/export/excel_export.py,47,float(),binary float conversion,"Decimal / NUMERIC(precision, scale)",money-or-rate,"float(_get(inv, ""total_amount"", 0) or 0)",code-change,critical
backend-conversion,backend/app/export/excel_export.py,48,float(),binary float conversion,"Decimal / NUMERIC(precision, scale)",money-or-rate,"float(_get(inv, ""settled_amount"", 0) or 0)",code-change,critical
backend-conversion,backend/app/export/excel_export.py,49,float(),binary float conversion,"Decimal / NUMERIC(precision, scale)",money-or-rate,"float(_get(inv, ""remaining_amount"", total - settled) or 0)",code-change,critical
backend-conversion,backend/app/export/excel_export.py,55,float(),binary float conversion,"Decimal / NUMERIC(precision, scale)",money-or-rate,"float(_get(inv, ""subtotal"", 0) or 0)",code-change,critical
backend-conversion,backend/app/export/excel_export.py,56,float(),binary float conversion,"Decimal / NUMERIC(precision, scale)",money-or-rate,"float(_get(inv, ""discount_amount"", 0) or 0)",code-change,critical
backend-conversion,backend/app/export/excel_export.py,57,float(),binary float conversion,"Decimal / NUMERIC(precision, scale)",money-or-rate,"float(_get(inv, ""tax_amount"", 0) or 0)",code-change,critical
backend-conversion,backend/app/export/excel_export.py,58,float(),binary float conversion,"Decimal / NUMERIC(precision, scale)",money-or-rate,"float(_get(inv, ""shipping_cost"", 0) or 0)",code-change,critical
backend-conversion,backend/app/export/pdf_export.py,79,float(),binary float conversion,"Decimal / NUMERIC(precision, scale)",money-or-rate,float(value or 0),code-change,critical
raw-sql,backend/app/export/pdf_export.py,79,return,FLOAT,Explicit numeric policy required,numeric-review,return float(value or 0),yes,review
backend-python,backend/app/financial_intelligence/routes.py,18,sales_growth_percent,float,Decimal / NUMERIC when fractional; Integer when indivisible,quantity-or-measurement,sales_growth_percent: float = 0,yes,medium
backend-python,backend/app/financial_intelligence/routes.py,19,purchase_cost_change_percent,float,"Decimal / NUMERIC(precision, scale)",money-or-rate,purchase_cost_change_percent: float = 0,yes,critical
backend-python,backend/app/financial_intelligence/routes.py,20,selling_price_change_percent,float,"Decimal / NUMERIC(precision, scale)",money-or-rate,selling_price_change_percent: float = 0,yes,critical
